2026-09-15 09:0x | send-only | http=200 ms=790 ret=-2 prepare failed | 出站故障第3天(9/13起)，与9/13同一签名；用户侧无新增入站(最新真实入站=9/3)
2026-09-16 21:00 | send-only | http=200 ms=846 ret=-2 prepare failed | 出站故障第4天(9/13起)，签名不变；用户侧零新增真人入站(9/14-9/16 仅 cron 自触发行，最新真实入站仍=9/3)
2026-09-17 12:13 | both | getupdates 15s 超时；sendmessage http=200 ms=793 ret=-2 prepare failed | 出站故障第20天(8/28起)，签名不变；本机离线7天后 12:08 恢复补跑，本机重复投递 job 已全部暂停（双机收敛）；最新真实入站仍=9/3
2026-09-17 21:00 | send-only | http=200 ms=1695 ret=-2 prepare failed | 出站故障第20天(8/28起)，同日第2次探测，签名不变；用户侧零新增入站(最新真实入站=9/3)
2026-09-20 10:02 | send-only | http=200 ms=804 ret=-2 prepare failed | 未恢复(签名不变)
2026-09-21 09:00 | send-only | http=200 ms=770 ret=-2 prepare failed | 未恢复(签名不变)
2026-09-22 09:01 | send-only | http=200 ms=780 ret=-2 prepare failed | 未恢复(签名不变)
2026-09-23 09:00 | send-only | http=200 ms=762 ret=-2 prepare failed | 未恢复(签名不变)
2026-09-24 09:00 | send-only | http=200 ms=783 ret=-2 prepare failed | 未恢复(签名不变)
2026-09-25 09:00 | send-only | http=200 ms=802 ret=-2 prepare failed | 未恢复(签名不变)
2026-09-26 09:00 | send-only | http=200 ms=808 ret=-2 prepare failed | 未恢复(签名不变)
